Date,Zone_ID,Material,Labor_Count,Active_Machines,Weather,Daily_Usage_m3,Cumulative_Usage,Shortage_Risk
2025-01-08,Zone A,concrete,11,2,0,0.23,14.41,0
2025-01-09,Zone A,concrete,21,1,0,0.21,14.62,0
2025-01-10,Zone A,concrete,11,2,0,0.18,14.8,0
2025-01-11,Zone A,concrete,13,4,1,0.02,14.82,0
2025-01-12,Zone A,concrete,9,0,1,0.02,14.84,0
2025-01-13,Zone A,concrete,28,0,0,0.26,15.1,0
2025-01-14,Zone A,concrete,26,1,0,0.21,15.31,0
2025-01-15,Zone A,concrete,7,4,0,0.19,15.5,0
2025-01-16,Zone A,concrete,15,3,0,0.25,15.75,0
2025-01-17,Zone A,concrete,27,4,0,0.24,15.99,0
2025-01-18,Zone A,concrete,19,1,0,0.24,16.23,0
2025-01-19,Zone A,concrete,16,1,0,0.22,16.45,0
2025-01-20,Zone A,concrete,12,1,0,0.2,16.65,0
2025-01-21,Zone A,concrete,15,2,0,0.18,16.83,0
2025-01-22,Zone A,concrete,20,4,0,0.19,17.02,0
2025-01-23,Zone A,concrete,21,1,0,0.23,17.25,0
2025-01-24,Zone A,concrete,15,4,0,0.17,17.42,0
2025-01-25,Zone A,concrete,13,2,0,0.2,17.62,0
2025-01-26,Zone A,concrete,9,3,0,0.19,17.81,0
2025-01-27,Zone A,concrete,19,4,1,0.02,17.83,0
2025-01-28,Zone A,concrete,11,0,1,0.02,17.85,0
2025-01-29,Zone A,concrete,10,4,1,0.02,17.87,0
2025-01-30,Zone A,concrete,29,1,0,0.29,18.16,0
2025-01-31,Zone A,concrete,10,1,0,0.19,18.35,0
2025-02-01,Zone A,concrete,27,2,0,0.23,18.58,0
2025-02-02,Zone A,concrete,27,0,0,0.25,18.83,0
2025-02-03,Zone A,concrete,17,3,0,0.18,19.01,0
2025-02-04,Zone A,concrete,12,3,0,0.21,19.22,0
2025-02-05,Zone A,concrete,7,3,0,0.19,19.41,0
2025-02-06,Zone A,concrete,29,4,0,0.27,19.68,0
2025-02-07,Zone A,concrete,10,2,0,0.16,19.84,0
2025-02-08,Zone A,concrete,9,2,0,0.22,20.06,0
2025-02-09,Zone A,concrete,8,3,0,0.2,20.26,0
2025-02-10,Zone A,concrete,13,4,0,0.18,20.44,0
2025-02-11,Zone A,concrete,5,2,0,0.21,20.65,0
2025-02-12,Zone A,concrete,11,2,0,0.22,20.87,0
2025-02-13,Zone A,concrete,22,4,0,0.21,21.08,0
2025-02-14,Zone A,concrete,7,4,0,0.16,21.24,0
2025-02-15,Zone A,concrete,11,4,0,0.17,21.41,0
2025-02-16,Zone A,concrete,28,2,0,0.22,21.63,0
2025-02-17,Zone A,concrete,24,0,0,0.27,21.9,0
2025-02-18,Zone A,concrete,22,0,0,0.23,22.13,0
2025-02-19,Zone A,concrete,19,4,0,0.21,22.34,0
2025-02-20,Zone A,concrete,25,4,0,0.22,22.56,0
2025-02-21,Zone A,concrete,15,2,0,0.19,22.75,0
2025-02-22,Zone A,concrete,6,1,0,0.21,22.96,0
2025-02-23,Zone A,concrete,15,0,1,0.02,22.98,1
2025-02-24,Zone A,concrete,25,4,0,0.23,23.21,1
2025-02-25,Zone A,concrete,23,4,0,0.24,23.45,1
2025-02-26,Zone A,concrete,29,1,0,0.23,23.68,1
2025-02-27,Zone A,concrete,14,3,0,0.21,23.89,1
2025-02-28,Zone A,concrete,17,4,0,0.21,24.1,1
2025-03-01,Zone A,concrete,8,0,0,0.2,24.3,1
2025-03-02,Zone A,concrete,16,1,1,0.02,24.32,1
2025-03-03,Zone A,concrete,18,3,0,0.2,24.52,1
2025-03-04,Zone A,concrete,11,3,0,0.18,24.7,1
2025-03-05,Zone A,concrete,7,1,0,0.15,24.85,1
2025-03-06,Zone A,concrete,19,0,1,0.02,24.87,1
2025-03-07,Zone A,concrete,17,0,0,0.22,25.09,1
2025-03-08,Zone A,concrete,20,3,0,0.23,25.32,1
2025-03-09,Zone A,concrete,12,3,1,0.02,25.34,1
2025-03-10,Zone A,concrete,17,3,0,0.19,25.53,1
2025-03-11,Zone A,concrete,16,1,0,0.23,25.76,1
2025-03-12,Zone A,concrete,8,4,0,0.18,25.94,1
2025-03-13,Zone A,concrete,19,1,0,0.2,26.14,1
2025-03-14,Zone A,concrete,20,1,0,0.23,26.37,1
2025-03-15,Zone A,concrete,25,0,0,0.25,26.62,1
2025-03-16,Zone A,concrete,7,0,0,0.16,26.78,1
2025-03-17,Zone A,concrete,11,1,0,0.2,26.98,1
2025-03-18,Zone A,concrete,20,1,0,0.21,27.19,1
2025-03-19,Zone A,concrete,25,2,0,0.21,27.4,1
2025-03-20,Zone A,concrete,24,0,0,0.25,27.65,1
2025-03-21,Zone A,concrete,9,3,1,0.02,27.67,1
2025-03-22,Zone A,concrete,27,1,0,0.3,27.97,1
2025-03-23,Zone A,concrete,11,1,0,0.17,28.14,1
2025-03-24,Zone A,concrete,29,0,0,0.23,28.37,1
2025-03-25,Zone A,concrete,23,1,1,0.02,28.39,1
2025-03-26,Zone A,concrete,20,3,0,0.25,28.64,1
2025-03-27,Zone A,concrete,26,0,0,0.2,28.84,1
2025-03-28,Zone A,concrete,6,3,0,0.2,29.04,1
2025-03-29,Zone A,concrete,7,0,1,0.02,29.06,1
2025-03-30,Zone A,concrete,13,0,0,0.21,29.27,1
2024-11-01,Zone B,concrete,13,1,0,0.19,0.19,0
2024-11-02,Zone B,concrete,15,4,0,0.2,0.39,0
2024-11-03,Zone B,concrete,18,1,0,0.22,0.61,0
2024-11-04,Zone B,concrete,15,4,0,0.2,0.81,0
2024-11-05,Zone B,concrete,25,1,0,0.24,1.05,0
2024-11-06,Zone B,concrete,22,1,0,0.22,1.27,0
2024-11-07,Zone B,concrete,7,3,0,0.2,1.47,0
2024-11-08,Zone B,concrete,17,2,1,0.01,1.48,0
2024-11-09,Zone B,concrete,11,4,0,0.17,1.65,0
2024-11-10,Zone B,concrete,24,2,0,0.23,1.88,0
2024-11-11,Zone B,concrete,13,0,0,0.16,2.04,0
2024-11-12,Zone B,concrete,24,0,0,0.21,2.25,0
2024-11-13,Zone B,concrete,20,3,0,0.19,2.44,0
2024-11-14,Zone B,concrete,11,0,0,0.2,2.64,0
2024-11-15,Zone B,concrete,8,2,0,0.14,2.78,0
2024-11-16,Zone B,concrete,7,0,0,0.15,2.93,0
2024-11-17,Zone B,concrete,13,3,0,0.2,3.13,0
2024-11-18,Zone B,concrete,27,4,0,0.19,3.32,0
2024-11-19,Zone B,concrete,25,3,0,0.21,3.53,0
2024-11-20,Zone B,concrete,28,3,0,0.2,3.73,0
2024-11-21,Zone B,concrete,11,1,0,0.18,3.91,0
2024-11-22,Zone B,concrete,13,2,0,0.21,4.12,0
2024-11-23,Zone B,concrete,12,1,0,0.21,4.33,0
2024-11-24,Zone B,concrete,13,0,0,0.21,4.54,0
2024-11-25,Zone B,concrete,9,2,0,0.17,4.71,0
2024-11-26,Zone B,concrete,27,0,0,0.23,4.94,0
2024-11-27,Zone B,concrete,19,2,0,0.18,5.12,0
2024-11-28,Zone B,concrete,16,1,0,0.2,5.32,0
2024-11-29,Zone B,concrete,29,4,1,0.01,5.33,0
2024-11-30,Zone B,concrete,18,1,1,0.01,5.34,0
2024-12-01,Zone B,concrete,22,4,0,0.21,5.55,0
2024-12-02,Zone B,concrete,23,3,0,0.23,5.78,0
2024-12-03,Zone B,concrete,16,2,0,0.22,6.0,0
2024-12-04,Zone B,concrete,20,2,1,0.01,6.01,0
2024-12-05,Zone B,concrete,28,3,0,0.21,6.22,0
2024-12-06,Zone B,concrete,27,0,1,0.01,6.23,0
2024-12-07,Zone B,concrete,15,4,0,0.18,6.41,0
2024-12-08,Zone B,concrete,13,4,0,0.18,6.59,0
2024-12-09,Zone B,concrete,19,0,0,0.17,6.76,0
2024-12-10,Zone B,concrete,9,1,1,0.01,6.77,0
2024-12-11,Zone B,concrete,7,0,1,0.01,6.78,0
2024-12-12,Zone B,concrete,15,0,0,0.17,6.95,0
2024-12-13,Zone B,concrete,16,1,0,0.22,7.17,0
2024-12-14,Zone B,concrete,10,2,0,0.2,7.37,0
2024-12-15,Zone B,concrete,8,0,0,0.2,7.57,0
2024-12-16,Zone B,concrete,8,2,1,0.01,7.58,0
2024-12-17,Zone B,concrete,28,3,0,0.2,7.78,0
2024-12-18,Zone B,concrete,7,1,0,0.17,7.95,0
2024-12-19,Zone B,concrete,6,2,0,0.16,8.11,0
2024-12-20,Zone B,concrete,13,0,0,0.19,8.3,0
2024-12-21,Zone B,concrete,15,2,0,0.21,8.51,0
2024-12-22,Zone B,concrete,17,2,0,0.17,8.68,0
2024-12-23,Zone B,concrete,20,3,0,0.21,8.89,0
2024-12-24,Zone B,concrete,22,4,0,0.24,9.13,0
2024-12-25,Zone B,concrete,17,4,0,0.2,9.33,0
2024-12-26,Zone B,concrete,10,1,0,0.15,9.48,0
2024-12-27,Zone B,concrete,20,4,1,0.01,9.49,0
2024-12-28,Zone B,concrete,10,3,0,0.17,9.66,0
2024-12-29,Zone B,concrete,5,4,1,0.01,9.67,0
2024-12-30,Zone B,concrete,10,1,0,0.16,9.83,0
2024-12-31,Zone B,concrete,27,2,0,0.24,10.07,0
2025-01-01,Zone B,concrete,22,2,0,0.23,10.3,0
2025-01-02,Zone B,concrete,5,1,0,0.14,10.44,0
2025-01-03,Zone B,concrete,28,0,0,0.22,10.66,0
2025-01-04,Zone B,concrete,17,4,0,0.18,10.84,0
2025-01-05,Zone B,concrete,20,0,0,0.17,11.01,0
2025-01-06,Zone B,concrete,28,1,0,0.19,11.2,0
2025-01-07,Zone B,concrete,23,3,0,0.2,11.4,0
2025-01-08,Zone B,concrete,22,4,0,0.2,11.6,0
2025-01-09,Zone B,concrete,10,1,0,0.15,11.75,0
2025-01-10,Zone B,concrete,28,0,0,0.22,11.97,0
2025-01-11,Zone B,concrete,25,1,0,0.22,12.19,0
2025-01-12,Zone B,concrete,19,0,0,0.21,12.4,0
2025-01-13,Zone B,concrete,19,1,0,0.18,12.58,0
2025-01-14,Zone B,concrete,12,1,1,0.01,12.59,0
2025-01-15,Zone B,concrete,25,3,0,0.2,12.79,0
2025-01-16,Zone B,concrete,26,2,1,0.01,12.8,0
2025-01-17,Zone B,concrete,6,1,0,0.16,12.96,0
2025-01-18,Zone B,concrete,15,2,0,0.16,13.12,0
2025-01-19,Zone B,concrete,23,4,0,0.21,13.33,0
2025-01-20,Zone B,concrete,12,2,0,0.18,13.51,0
2025-01-21,Zone B,concrete,9,2,0,0.17,13.68,0
2025-01-22,Zone B,concrete,11,3,0,0.19,13.87,0
2025-01-23,Zone B,concrete,25,3,0,0.22,14.09,0
2025-01-24,Zone B,concrete,12,1,1,0.01,14.1,0
2025-01-25,Zone B,concrete,18,3,1,0.01,14.11,0
2025-01-26,Zone B,concrete,26,2,1,0.01,14.12,0
2025-01-27,Zone B,concrete,27,4,0,0.26,14.38,0
2025-01-28,Zone B,concrete,15,3,0,0.17,14.55,0
2025-01-29,Zone B,concrete,11,2,0,0.21,14.76,0
2025-01-30,Zone B,concrete,13,3,0,0.18,14.94,0
2025-01-31,Zone B,concrete,7,3,0,0.14,15.08,0
2025-02-01,Zone B,concrete,17,4,0,0.16,15.24,0
2025-02-02,Zone B,concrete,17,0,0,0.17,15.41,0
2025-02-03,Zone B,concrete,8,0,1,0.01,15.42,0
2025-02-04,Zone B,concrete,6,1,0,0.13,15.55,0
2025-02-05,Zone B,concrete,29,0,0,0.23,15.78,0
2025-02-06,Zone B,concrete,24,4,0,0.24,16.02,0
2025-02-07,Zone B,concrete,7,1,0,0.15,16.17,0
2025-02-08,Zone B,concrete,17,2,0,0.19,16.36,0
2025-02-09,Zone B,concrete,20,1,1,0.01,16.37,0
2025-02-10,Zone B,concrete,10,0,0,0.16,16.53,0
2025-02-11,Zone B,concrete,12,0,0,0.18,16.71,0
2025-02-12,Zone B,concrete,8,3,0,0.19,16.9,0
2025-02-13,Zone B,concrete,19,3,0,0.21,17.11,0
2025-02-14,Zone B,concrete,7,4,0,0.14,17.25,0
2025-02-15,Zone B,concrete,14,1,0,0.2,17.45,0
2025-02-16,Zone B,concrete,20,2,0,0.18,17.63,0
2025-02-17,Zone B,concrete,8,1,1,0.01,17.64,0
2025-02-18,Zone B,concrete,25,0,0,0.19,17.83,0
2025-02-19,Zone B,concrete,27,0,1,0.01,17.84,0
2025-02-20,Zone B,concrete,29,4,0,0.21,18.05,0
2025-02-21,Zone B,concrete,14,4,0,0.2,18.25,0
2025-02-22,Zone B,concrete,29,0,0,0.24,18.49,0
2025-02-23,Zone B,concrete,28,0,0,0.22,18.71,0
2025-02-24,Zone B,concrete,7,1,0,0.19,18.9,0
2025-02-25,Zone B,concrete,11,0,0,0.15,19.05,0
2025-02-26,Zone B,concrete,17,4,0,0.19,19.24,0
2025-02-27,Zone B,concrete,13,3,0,0.21,19.45,0
2025-02-28,Zone B,concrete,29,3,1,0.01,19.46,0
2025-03-01,Zone B,concrete,16,4,1,0.01,19.47,0
2025-03-02,Zone B,concrete,8,3,0,0.19,19.66,0
2025-03-03,Zone B,concrete,13,1,1,0.01,19.67,0
2025-03-04,Zone B,concrete,14,0,0,0.16,19.83,0
2025-03-05,Zone B,concrete,15,1,0,0.16,19.99,0
2025-03-06,Zone B,concrete,10,0,0,0.16,20.15,0
2025-03-07,Zone B,concrete,12,3,0,0.21,20.36,0
2025-03-08,Zone B,concrete,16,1,0,0.22,20.58,0
2025-03-09,Zone B,concrete,25,0,1,0.01,20.59,0
2025-03-10,Zone B,concrete,5,2,0,0.16,20.75,0
2025-03-11,Zone B,concrete,26,3,0,0.19,20.94,1
2025-03-12,Zone B,concrete,26,1,0,0.22,21.16,1
2025-03-13,Zone B,concrete,29,3,0,0.21,21.37,1
